100 1236
0 16 -15
0 17 19
0 18 -18
0 27 18
0 29 17
0 35 0
0 45 11
0 46 17
0 48 -13
0 57 3
0 60 10
0 64 18
0 76 7
0 77 -9
0 79 18
0 81 0
0 84 -11
0 87 8
0 89 10
0 90 -16
0 93 -4
0 96 -3
0 97 -6
1 2 -15
1 9 16
1 11 4
1 12 11
1 13 12
1 15 -11
1 18 4
1 20 -1
1 23 11
1 25 -5
1 37 -16
1 38 -11
1 40 12
1 46 -8
1 50 -19
1 51 -13
1 57 3
1 58 -9
1 63 -9
1 66 -11
1 69 17
1 70 -11
1 71 7
1 73 -11
1 75 10
1 80 -2
1 81 -14
1 85 -10
1 87 -10
1 91 3
1 94 11
1 98 -12
2 7 14
2 9 -6
2 12 13
2 15 5
2 16 -18
2 21 15
2 22 19
2 23 0
2 24 -4
2 30 0
2 31 11
2 32 0
2 37 5
2 41 -3
2 43 2
2 46 -4
2 47 -13
2 48 2
2 56 0
2 57 -7
2 58 17
2 60 -14
2 61 19
2 65 -12
2 67 -2
2 71 -3
2 72 1
2 73 -14
2 75 16
2 79 -8
2 83 1
2 88 6
2 90 -5
2 95 -12
3 11 9
3 16 -6
3 26 0
3 28 13
3 35 7
3 37 -15
3 40 11
3 43 -11
3 56 -2
3 59 -14
3 64 11
3 65 19
3 66 13
3 67 -8
3 76 4
3 85 5
3 91 -4
3 96 19
3 98 14
4 7 9
4 14 15
4 20 -3
4 22 0
4 25 -6
4 28 0
4 36 2
4 38 2
4 41 0
4 48 5
4 52 -10
4 58 5
4 59 -5
4 60 18
4 71 18
4 74 15
4 77 -9
4 83 -9
4 84 15
4 85 4
4 89 -17
4 91 -1
4 94 -19
4 95 -16
4 96 3
5 10 0
5 13 19
5 16 2
5 19 4
5 21 -7
5 26 -16
5 27 -19
5 31 -9
5 32 10
5 33 7
5 45 -13
5 52 19
5 54 1
5 67 -9
5 68 12
5 73 -18
5 77 -13
5 78 -17
5 80 16
5 84 14
5 85 -6
5 88 -18
5 91 14
5 96 10
6 11 19
6 13 -16
6 16 -6
6 18 0
6 20 4
6 23 12
6 25 9
6 27 -19
6 29 -8
6 35 18
6 39 -8
6 43 -3
6 46 11
6 49 -8
6 51 -14
6 53 -16
6 54 16
6 56 9
6 63 -19
6 65 0
6 68 -10
6 69 0
6 71 16
6 72 -10
6 76 5
6 77 8
6 78 8
6 79 -15
6 80 -1
6 82 14
6 87 -6
6 90 -16
6 92 4
6 98 -5
7 29 7
7 30 14
7 32 7
7 36 -8
7 38 15
7 42 -8
7 46 6
7 50 7
7 51 -17
7 58 -8
7 61 4
7 69 2
7 78 4
7 81 -18
7 84 5
7 87 -12
7 93 12
7 94 -15
7 95 -8
7 96 12
7 97 7
7 99 1
8 11 0
8 13 -17
8 19 4
8 20 8
8 22 -17
8 25 -1
8 31 14
8 39 -18
8 44 2
8 46 10
8 54 16
8 56 14
8 58 8
8 62 -15
8 63 3
8 64 -8
8 67 -4
8 77 12
8 78 10
8 81 -13
8 84 0
8 86 12
8 95 -7
9 14 9
9 23 6
9 25 -10
9 29 3
9 33 -15
9 35 10
9 37 16
9 45 8
9 49 12
9 51 -14
9 56 -17
9 57 11
9 60 4
