100 515
0 5 38
0 8 13
0 37 49
0 53 15
0 56 -4
0 69 11
1 26 47
1 44 -3
1 53 4
1 55 41
1 83 6
2 19 28
2 65 3
3 6 42
3 85 26
3 90 13
4 0 4
4 1 1
4 10 35
4 24 23
4 31 45
4 44 4
4 54 21
4 68 28
4 71 0
4 85 -3
5 13 4
5 14 19
5 15 47
5 38 27
5 72 8
6 42 18
6 47 25
6 72 18
6 80 19
6 98 0
7 6 22
7 70 -4
7 95 21
8 34 39
8 66 32
8 68 16
8 72 43
8 77 46
8 88 5
8 97 5
9 10 -4
9 23 31
9 68 -3
9 82 25
9 97 2
10 4 38
10 22 15
10 87 25
11 0 9
11 66 16
12 57 39
12 83 20
12 85 29
12 94 49
13 22 10
13 80 11
13 86 -2
14 24 9
14 35 0
14 40 38
15 34 -3
15 56 32
15 71 40
15 76 6
15 83 5
15 85 45
16 7 -4
16 15 4
16 36 3
16 46 2
16 56 14
16 62 1
16 97 8
16 99 25
17 43 25
17 47 33
17 85 18
18 2 29
18 30 33
18 42 4
18 76 20
19 18 28
19 48 15
20 5 47
20 15 44
20 67 22
20 68 13
20 84 11
21 27 49
21 39 47
21 48 11
21 74 46
21 81 16
21 96 16
21 99 0
22 5 10
22 16 38
22 26 38
22 32 33
22 45 47
22 51 24
22 91 -1
22 93 45
23 25 12
23 34 20
23 41 4
23 90 15
24 3 26
24 4 23
24 7 45
24 11 42
24 25 48
24 36 0
24 48 11
25 3 30
25 10 -1
25 29 46
25 68 13
25 69 25
25 83 18
25 94 16
26 0 14
26 1 38
26 21 19
26 27 23
26 37 29
26 38 19
26 40 34
26 50 8
26 54 29
26 59 12
26 71 -4
26 81 46
26 85 23
27 4 22
27 10 -3
27 32 25
27 44 36
27 47 26
27 84 3
28 7 10
28 54 22
28 80 -2
29 3 0
29 43 45
29 55 34
29 56 21
29 66 3
29 68 20
30 38 47
30 57 15
30 64 -4
30 67 42
30 89 31
31 3 27
31 41 45
31 45 7
31 92 39
31 95 43
31 99 32
32 9 6
32 13 30
32 14 33
32 25 0
32 27 47
32 51 34
32 53 -1
32 62 49
32 66 22
32 72 6
32 77 46
32 90 12
33 7 34
33 10 38
33 45 28
33 47 3
33 60 37
33 80 5
33 89 -1
34 4 29
34 6 0
34 13 24
34 15 9
34 23 3
34 27 0
34 65 48
34 72 -1
34 91 18
35 0 7
35 14 47
35 39 0
35 54 12
35 59 44
36 35 15
36 37 -3
36 52 49
36 90 19
36 98 18
37 7 28
37 52 21
37 87 37
37 98 37
38 26 26
38 27 12
38 93 -3
39 76 0
39 77 20
39 88 42
40 6 4
40 12 20
40 43 23
40 55 8
41 5 -1
41 52 0
41 55 29
41 62 1
41 67 39
42 26 -3
42 56 3
42 87 30
43 39 0
43 75 45
44 27 4
44 34 8
44 38 14
44 54 30
44 57 25
44 78 23
44 81 41
44 99 35
45 26 31
45 29 10
45 48 36
46 9 23
46 13 5
46 17 5
46 42 15
46 45 43
46 66 5
47 16 31
47 19 -2
47 20 43
47 46 1
47 53 0
47 59 6
47 79 31
48 11 19
48 22 31
48 53 22
48 60 8
48 63 45
48 71 -1
48 75 35
48 83 4
48 95 22
49 16 26
49 36 20
49 47 12
49 48 30
49 92 49
50 8 2
50 35 18
50 58 35
50 63 29
50 68 0
50 71 31
50 96 25
51 9 41
51 25 45
51 28 2
51 49 17
51 57 7
51 82 27
51 94 24
52 0 0
52 9 3
52 12 27
52 18 45
52 20 10
52 25 16
52 75 -4
52 76 27
53 13 2
53 35 24
53 44 11
53 61 47
53 65 22
53 87 38
53 92 9
54 15 16
54 27 28
54 32 -2
54 95 25
55 4 36
55 10 21
55 29 11
55 69 7
56 0 13
56 24 29
56 27 29
56 60 29
56 87 -4
57 13 45
57 29 27
57 62 40
57 69 0
57 70 35
57 83 26
58 16 29
58 19 0
58 52 0
58 61 17
58 71 25
58 96 41
59 10 5
59 12 -2
59 13 24
60 0 30
60 3 -2
60 20 9
60 31 11
60 40 22
60 56 -1
60 59 18
60 88 23
60 95 0
61 26 15
61 47 0
61 49 22
61 62 14
61 91 41
62 9 14
62 24 2
62 80 29
62 87 46
63 8 15
63 44 14
63 61 32
63 79 35
63 93 33
64 1 31
64 8 43
64 26 3
64 84 9
65 16 45
65 50 0
65 70 48
65 79 30
65 87 -3
66 16 18
66 50 47
66 76 48
66 84 38
66 89 12
66 94 32
67 31 31
67 33 39
67 39 10
67 44 0
67 46 42
67 53 14
68 11 28
68 19 35
68 28 18
