1000 25014
0 35 -58
0 76 -8
0 83 -25
0 85 28
0 116 -18
0 131 41
0 149 2
0 171 95
0 204 -14
0 213 -52
0 226 76
0 240 96
0 282 52
0 293 2
0 336 5
0 352 18
0 368 61
0 372 73
0 382 23
0 394 39
0 405 81
0 412 64
0 421 36
0 437 -40
0 452 93
0 510 -67
0 512 -17
0 545 24
0 553 -34
0 563 31
0 588 5
0 625 -3
0 646 30
0 706 30
0 755 73
0 793 98
0 798 1
0 810 8
0 819 55
0 895 -96
0 901 -55
0 913 99
0 934 78
0 971 91
1 8 -63
1 21 -61
1 33 43
1 67 91
1 77 -67
1 78 66
1 114 -4
1 142 -45
1 182 -69
1 193 -10
1 204 58
1 232 28
1 256 46
1 266 -27
1 294 -93
1 330 -14
1 363 1
1 378 -83
1 395 70
1 413 -57
1 415 -28
1 444 73
1 453 67
1 456 14
1 462 -71
1 465 43
1 537 81
1 564 -18
1 589 62
1 596 28
1 619 -8
1 636 53
1 646 -56
1 663 26
1 687 73
1 691 -24
1 718 56
1 722 -11
1 734 37
1 757 50
1 770 39
1 798 -79
1 807 -14
1 811 -24
1 879 54
1 890 48
1 900 46
1 903 -46
1 918 -5
1 949 -97
1 959 -10
1 961 81
1 992 -9
1 998 -24
2 77 17
2 82 -82
2 104 -10
2 105 -15
2 127 -29
2 142 80
2 157 -60
2 172 80
2 181 -71
2 221 67
2 255 -26
2 315 64
2 334 11
2 338 -97
2 349 -87
2 355 -24
2 362 52
2 373 34
2 376 -91
2 447 -21
2 498 73
2 521 -53
2 522 77
2 526 -94
2 530 59
2 538 89
2 546 -71
2 551 63
2 569 92
2 573 -32
2 591 -61
2 610 -10
2 620 81
2 638 -43
2 670 -94
2 720 -11
2 733 -2
2 758 92
2 770 -73
2 780 17
2 793 -37
2 806 -22
2 875 40
2 878 -32
2 884 -8
2 906 -35
2 920 69
2 947 63
2 971 17
2 988 -60
3 24 0
3 35 -60
3 52 56
3 58 -25
3 67 -21
3 89 -95
3 103 -77
3 105 -56
3 108 -75
3 119 -94
3 156 6
3 174 -29
3 222 70
3 223 66
3 224 1
3 246 -32
3 269 27
3 280 32
3 286 -73
3 295 87
3 306 60
3 317 -59
3 326 91
3 336 -38
3 342 17
3 343 90
3 361 52
3 388 -20
3 393 89
3 406 -53
3 411 83
3 412 -5
3 429 55
3 433 -19
3 443 -25
3 474 17
3 486 35
3 516 -4
3 522 -43
3 528 11
3 529 -63
3 551 61
3 573 -19
3 593 40
3 616 -18
3 623 55
3 637 71
3 641 -11
3 649 -90
3 661 85
3 673 43
3 692 29
3 699 -8
3 704 -4
3 719 -8
3 745 -15
3 752 35
3 760 -49
3 780 -90
3 781 48
3 786 97
3 818 64
3 842 73
3 917 -7
3 930 72
3 936 15
3 948 33
3 956 80
3 964 -45
3 971 37
3 984 -28
4 17 -66
4 74 -49
4 134 8
4 228 99
4 248 -49
4 351 -18
4 356 44
4 367 93
4 378 -14
4 405 -49
4 406 -7
4 408 82
4 412 80
4 426 84
4 429 96
4 470 7
4 487 -31
4 531 48
4 532 -90
4 538 93
4 554 2
4 589 -21
4 606 46
4 670 -36
4 671 26
4 694 -99
4 712 32
4 733 -11
4 755 -88
4 770 37
4 779 -87
4 785 23
4 880 -12
4 888 -31
4 909 75
4 941 37
4 989 17
5 7 30
5 12 85
5 22 -92
5 66 99
5 81 -99
5 98 -2
5 138 -81
5 168 71
5 172 19
5 173 -28
5 180 82
5 192 -77
5 205 90
5 238 25
5 264 9
5 276 24
5 281 -74
5 305 68
5 307 15
5 346 14
5 436 59
5 446 84
5 496 29
5 504 37
5 515 -47
5 575 35
5 613 -17
5 621 -20
5 630 56
5 695 -9
5 735 -94
5 745 -12
5 790 38
5 794 -11
5 796 -60
5 825 98
5 828 -68
5 869 -35
5 904 -4
5 980 -19
5 982 44
5 987 -1
6 17 -19
6 25 23
6 60 -38
6 65 79
6 72 66
6 90 -79
6 92 8
6 94 -24
6 125 -54
6 132 0
6 148 87
6 161 45
6 177 -34
6 184 43
6 186 17
6 214 37
6 232 -68
6 242 -8
6 266 58
6 295 -59
6 331 35
6 336 58
6 352 -64
6 401 86
6 422 -86
6 437 -59
6 467 96
6 477 -86
6 480 -49
6 484 59
6 543 66
6 549 -77
6 585 -15
6 591 31
6 601 -82
6 623 -99
6 628 29
6 645 -56
6 646 -59
6 647 35
6 653 -49
6 666 45
6 696 -98
6 711 10
6 726 18
6 773 1
6 789 -78
6 799 62
6 819 77
6 828 -31
6 859 29
6 885 -89
6 894 -95
6 896 19
6 906 -93
6 931 99
6 937 68
6 948 -15
6 955 12
6 964 -53
6 982 3
7 28 42
7 58 -16
7 74 -10
7 75 -90
7 90 64
7 122 65
7 160 86
7 199 64
7 213 50
7 219 16
7 257 -5
7 277 47
7 309 39
7 329 -12
7 397 61
7 455 -41
7 468 -63
7 509 -1
7 524 16
7 544 59
7 557 31
7 581 47
7 596 -90
7 635 56
7 688 -62
7 718 -72
7 800 97
7 806 57
7 815 16
7 819 -41
7 820 -27
7 823 -13
7 824 64
7 896 -80
7 964 15
7 966 -92
7 977 34
7 991 89
7 992 49
8 17 13
8 65 96
8 95 -53
8 96 -56
8 108 -70
8 125 24
8 157 -31
8 158 88
8 210 -91
8 212 20
8 215 1
8 233 32
8 241 -67
8 248 72
8 257 31
8 262 37
8 297 28
8 299 76
8 302 -85
8 312 -30
8 327 -68
8 341 60
8 353 53
8 354 66
8 426 62
8 452 -79
8 483 -20
8 498 -43
8 512 63
8 524 15
8 575 -54
8 578 54
8 612 -97
8 632 -73
8 679 25
8 682 0
8 684 -24
8 700 -54
8 706 -34
8 717 -46
8 748 -31
8 783 24
8 817 -67
8 861 42
8 907 50
8 913 86
8 936 75
8 969 58
9 21 77
9 101 -66
9 114 -75
9 115 -83
9 135 -85
9 142 3
9 152 -41
9 195 62
9 198 -16
9 206 -95
9 218 13
9 230 22
9 258 79
9 267 82
9 277 -24
9 287 11
9 297 -96
9 340 -54
9 347 19
9 360 -23
9 445 76
9 454 -41
9 457 94
9 458 78
9 463 -13
9 480 -6
9 511 42
9 517 -51
9 520 -79
9 527 -88
9 531 -53
9 545 44
9 638 70
9 645 85
9 663 57
9 756 23
9 843 -16
9 844 -17
9 892 1
9 937 33
9 959 89
9 962 88
9 989 71
9 993 -51
10 15 49
10 21 -12
10 35 31
10 51 -82
10 64 5
10 65 -4
10 167 46
10 169 95
10 183 37
10 190 -76
10 225 -23
10 242 90
10 261 -96
10 292 5
10 295 89
10 307 -63
10 339 63
10 354 23
10 406 -15
10 419 25
10 421 -80
10 431 84
10 435 82
10 456 92
10 476 97
10 478 84
10 491 5
10 510 -30
10 516 85
10 517 -26
10 536 -74
10 541 37
10 550 22
10 556 -93
10 594 50
10 599 47
10 601 -31
10 607 -25
10 629 -66
10 643 27
10 653 35
10 723 95
10 788 12
10 809 55
10 860 33
10 879 -93
10 887 18
10 899 6
10 914 82
10 921 -39
10 924 -5
10 937 56
10 941 -16
10 948 -57
10 972 15
