Column1,Column2
Image_Name, Classes
image0.jpg, 
image1.jpg,  bus person
image2.jpg,  sitar
image3.jpg,  flutes
image4.jpg,  bus trees
image5.jpg,  bus
image6.jpg,  sitar ektara tabla
image7.jpg,  sitar tabla
image8.jpg,  sitar ektara tabla
image9.jpg,  person tabla
image10.jpg,  sitar
image11.jpg,  tabla harmonium
image12.jpg,  person harmonium
image13.jpg,  tabla
image14.jpg,  tabla
image15.jpg,  sitar ektara flutes tabla harmonium
image16.jpg,  bus
image17.jpg,  person flutes
image18.jpg,  person sitar tabla harmonium
image19.jpg,  sitar tabla harmonium
image20.jpg,  harmonium
image21.jpg,  person ektara
image22.jpg,  sitar
image23.jpg,  sitar
image24.jpg,  sitar
image25.jpg,  ektara
image26.jpg,  tabla
image27.jpg,  bus
image28.jpg,  person tabla harmonium
image29.jpg,  sitar tabla harmonium
image30.jpg,  tabla
image31.jpg,  harmonium
image32.jpg,  sitar
image33.jpg,  sitar flutes tabla harmonium
image34.jpg,  sitar tabla
image35.jpg,  person sitar flutes tabla harmonium
image36.jpg,  harmonium
image37.jpg,  person tabla
image38.jpg,  truck
image39.jpg,  person tabla
image40.jpg,  tabla
image41.jpg,  person tabla
image42.jpg,  tabla
image43.jpg,  tabla harmonium
image44.jpg,  person tabla
image45.jpg,  tabla
image46.jpg,  person tabla
image47.jpg,  tabla
image48.jpg,  tabla
image49.jpg,  truck
image50.jpg,  tabla
image51.jpg,  tabla
image52.jpg,  tabla
image53.jpg,  tabla
image54.jpg,  tabla
image55.jpg,  tabla
image56.jpg,  tabla
image57.jpg,  person tabla
image58.jpg,  trees tabla
image59.jpg,  person tabla
image60.jpg,  motorcycle person
image61.jpg,  tabla
image62.jpg,  tabla
image63.jpg,  person tabla
image64.jpg,  person tabla
image65.jpg,  tabla
image66.jpg,  person flutes tabla
image67.jpg,  tabla
image68.jpg,  tabla
image69.jpg,  tabla
image70.jpg,  person tabla
image71.jpg,  truck
image72.jpg,  tabla
image73.jpg,  person trees tabla
image74.jpg,  person tabla
image75.jpg,  tabla
image76.jpg,  flutes
image77.jpg,  person tabla
image78.jpg,  tabla
image79.jpg,  person tabla
image80.jpg,  tabla
image81.jpg,  tabla
image82.jpg,  bus
image83.jpg,  person tabla
image84.jpg,  tabla
image85.jpg,  tabla
image86.jpg,  tabla
image87.jpg,  person tabla
image88.jpg,  tabla
image89.jpg,  person tabla
image90.jpg,  person tabla
image91.jpg,  tabla
image92.jpg,  tabla
image93.jpg,  bus
image94.jpg,  tabla
image95.jpg,  tabla
image96.jpg,  tabla
image97.jpg,  tabla
image98.jpg,  tabla
image99.jpg,  tabla
image100.jpg,  sitar
image101.jpg,  tabla
image102.jpg,  tabla
image103.jpg,  tabla
image104.jpg,  truck trees
image105.jpg,  person tabla
image106.jpg,  flutes tabla
image107.jpg,  tabla
image108.jpg,  tabla
image109.jpg,  tabla
image110.jpg,  person tabla
image111.jpg,  person tabla
image112.jpg,  tabla
image113.jpg,  person tabla
image114.jpg,  tabla
image115.jpg,  motorcycle
image116.jpg,  motorcycle trees
image117.jpg,  tabla
image118.jpg,  person tabla
image119.jpg,  person tabla
image120.jpg,  tabla
image121.jpg,  person tabla
image122.jpg,  person tabla
image123.jpg,  person tabla
image124.jpg,  person tabla
