05 Jul 2023 20:01:07,092 INFO  martin.network.rpcprotocol.ServicesRpcProxy 35 <init> - Creating proxy
05 Jul 2023 20:01:09,019 INFO  martin.network.rpcprotocol.ServicesRpcProxy 114 initializeConnection - Connection initialized
05 Jul 2023 20:01:09,030 INFO  martin.network.rpcprotocol.ServicesRpcProxy 72 sendRequest - Request sent: Request{type='LOGIN', data='sara'}
05 Jul 2023 20:01:09,193 INFO  martin.network.rpcprotocol.ServicesRpcProxy$ReaderThread 220 run - response received Response{type='OK', data='sara'}
05 Jul 2023 20:01:09,195 INFO  martin.network.rpcprotocol.ServicesRpcProxy 83 readResponse - Response received: Response{type='OK', data='sara'}
05 Jul 2023 20:01:09,195 INFO  martin.network.rpcprotocol.ServicesRpcProxy 156 login - Logged in
05 Jul 2023 20:01:09,278 INFO  martin.network.rpcprotocol.ServicesRpcProxy 72 sendRequest - Request sent: Request{type='GET_RANKING', data='null'}
05 Jul 2023 20:01:10,397 INFO  martin.network.rpcprotocol.ServicesRpcProxy$ReaderThread 220 run - response received Response{type='OK', data='[domain.DTO@1f, domain.DTO@1f, domain.DTO@1f, domain.DTO@1f, domain.DTO@1f, domain.DTO@1f]'}
05 Jul 2023 20:01:10,398 INFO  martin.network.rpcprotocol.ServicesRpcProxy 83 readResponse - Response received: Response{type='OK', data='[domain.DTO@1f, domain.DTO@1f, domain.DTO@1f, domain.DTO@1f, domain.DTO@1f, domain.DTO@1f]'}
05 Jul 2023 20:01:10,398 INFO  martin.network.rpcprotocol.ServicesRpcProxy 179 getRanking - Got ranking
05 Jul 2023 20:01:10,399 INFO  martin.network.rpcprotocol.ServicesRpcProxy 72 sendRequest - Request sent: Request{type='GET_GAME', data='sara'}
05 Jul 2023 20:01:11,412 INFO  martin.network.rpcprotocol.ServicesRpcProxy$ReaderThread 220 run - response received Response{type='OK', data='domain.Game@23'}
05 Jul 2023 20:01:11,413 INFO  martin.network.rpcprotocol.ServicesRpcProxy 83 readResponse - Response received: Response{type='OK', data='domain.Game@23'}
05 Jul 2023 20:01:11,413 INFO  martin.network.rpcprotocol.ServicesRpcProxy 101 getGame - Got game
05 Jul 2023 20:01:14,659 INFO  martin.network.rpcprotocol.ServicesRpcProxy 72 sendRequest - Request sent: Request{type='GUESS', data='domain.Pair@1f'}
05 Jul 2023 20:01:14,806 INFO  martin.network.rpcprotocol.ServicesRpcProxy$ReaderThread 220 run - response received Response{type='OK', data='Cuvantul nu a fost ghicit, dar ai primit 3 puncte!'}
05 Jul 2023 20:01:14,807 INFO  martin.network.rpcprotocol.ServicesRpcProxy 83 readResponse - Response received: Response{type='OK', data='Cuvantul nu a fost ghicit, dar ai primit 3 puncte!'}
05 Jul 2023 20:01:14,807 INFO  martin.network.rpcprotocol.ServicesRpcProxy 194 guess - Guessed
05 Jul 2023 20:01:18,347 INFO  martin.network.rpcprotocol.ServicesRpcProxy 72 sendRequest - Request sent: Request{type='GUESS', data='domain.Pair@1f'}
05 Jul 2023 20:01:18,440 INFO  martin.network.rpcprotocol.ServicesRpcProxy$ReaderThread 220 run - response received Response{type='OK', data='Cuvant ghicit, ai primit 4 puncte!'}
05 Jul 2023 20:01:18,440 INFO  martin.network.rpcprotocol.ServicesRpcProxy 83 readResponse - Response received: Response{type='OK', data='Cuvant ghicit, ai primit 4 puncte!'}
05 Jul 2023 20:01:18,440 INFO  martin.network.rpcprotocol.ServicesRpcProxy 194 guess - Guessed
05 Jul 2023 20:01:20,651 INFO  martin.network.rpcprotocol.ServicesRpcProxy 72 sendRequest - Request sent: Request{type='GUESS', data='domain.Pair@1f'}
05 Jul 2023 20:01:20,744 INFO  martin.network.rpcprotocol.ServicesRpcProxy$ReaderThread 220 run - response received Response{type='OK', data='You already guessed this word!'}
05 Jul 2023 20:01:20,744 INFO  martin.network.rpcprotocol.ServicesRpcProxy 83 readResponse - Response received: Response{type='OK', data='You already guessed this word!'}
05 Jul 2023 20:01:20,745 INFO  martin.network.rpcprotocol.ServicesRpcProxy 194 guess - Guessed
05 Jul 2023 20:01:21,417 INFO  martin.network.rpcprotocol.ServicesRpcProxy 72 sendRequest - Request sent: Request{type='GUESS', data='domain.Pair@1f'}
05 Jul 2023 20:01:21,830 INFO  martin.network.rpcprotocol.ServicesRpcProxy$ReaderThread 220 run - response received Response{type='OK', data='You already guessed this word!'}
05 Jul 2023 20:01:21,830 INFO  martin.network.rpcprotocol.ServicesRpcProxy 83 readResponse - Response received: Response{type='OK', data='You already guessed this word!'}
05 Jul 2023 20:01:21,830 INFO  martin.network.rpcprotocol.ServicesRpcProxy 194 guess - Guessed
05 Jul 2023 20:01:28,515 INFO  martin.network.rpcprotocol.ServicesRpcProxy 72 sendRequest - Request sent: Request{type='GUESS', data='domain.Pair@1f'}
05 Jul 2023 20:01:28,673 INFO  martin.network.rpcprotocol.ServicesRpcProxy$ReaderThread 220 run - response received Response{type='RANKING', data='[domain.DTO@1f, domain.DTO@1f, domain.DTO@1f, domain.DTO@1f, domain.DTO@1f, domain.DTO@1f, domain.DTO@1f]'}
05 Jul 2023 20:01:28,673 INFO  martin.network.rpcprotocol.ServicesRpcProxy$ReaderThread 220 run - response received Response{type='CONTROL', data='sara'}
05 Jul 2023 20:01:28,674 INFO  martin.network.rpcprotocol.ServicesRpcProxy$ReaderThread 220 run - response received Response{type='OK', data='Cuvantul nu a fost ghicit, dar ai primit 2 puncte!'}
05 Jul 2023 20:01:28,674 INFO  martin.network.rpcprotocol.ServicesRpcProxy 83 readResponse - Response received: Response{type='OK', data='Cuvantul nu a fost ghicit, dar ai primit 2 puncte!'}
05 Jul 2023 20:01:28,674 INFO  martin.network.rpcprotocol.ServicesRpcProxy 194 guess - Guessed
05 Jul 2023 20:01:28,675 INFO  martin.network.rpcprotocol.ServicesRpcProxy 72 sendRequest - Request sent: Request{type='GET_RANKING', data='null'}
05 Jul 2023 20:01:29,756 INFO  martin.network.rpcprotocol.ServicesRpcProxy$ReaderThread 220 run - response received Response{type='OK', data='[domain.DTO@1f, domain.DTO@1f, domain.DTO@1f, domain.DTO@1f, domain.DTO@1f, domain.DTO@1f, domain.DTO@1f]'}
05 Jul 2023 20:01:29,757 INFO  martin.network.rpcprotocol.ServicesRpcProxy 83 readResponse - Response received: Response{type='OK', data='[domain.DTO@1f, domain.DTO@1f, domain.DTO@1f, domain.DTO@1f, domain.DTO@1f, domain.DTO@1f, domain.DTO@1f]'}
05 Jul 2023 20:01:29,757 INFO  martin.network.rpcprotocol.ServicesRpcProxy 179 getRanking - Got ranking
05 Jul 2023 20:01:29,758 INFO  martin.network.rpcprotocol.ServicesRpcProxy 72 sendRequest - Request sent: Request{type='SET_CONTROL_GAME_OVER', data='sara'}
05 Jul 2023 20:01:30,845 INFO  martin.network.rpcprotocol.ServicesRpcProxy$ReaderThread 220 run - response received Response{type='OK', data='Words: tara, arta, tare
You are on position 4 with 9 points.'}
05 Jul 2023 20:01:30,846 INFO  martin.network.rpcprotocol.ServicesRpcProxy 83 readResponse - Response received: Response{type='OK', data='Words: tara, arta, tare
You are on position 4 with 9 points.'}
05 Jul 2023 20:01:30,846 INFO  martin.network.rpcprotocol.ServicesRpcProxy 209 setControlGameOver - Set control game over
