Tip Matrice,Tip alocare,Nr threads,Timp executie
N=M=10 si n=m=3,Static,Sequential,0.01708
N=M=10 si n=m=3,Static,Sequential,0.01746
N=M=10 si n=m=3,Static,Sequential,0.01664
N=M=10 si n=m=3,Static,Sequential,0.01644
N=M=10 si n=m=3,Static,Sequential,0.01614
N=M=10 si n=m=3,Static,4,0.21114
N=M=10 si n=m=3,Static,4,0.21867
N=M=10 si n=m=3,Static,4,0.20989
N=M=10 si n=m=3,Static,4,0.23648
N=M=10 si n=m=3,Static,4,0.23104
N=M=10 si n=m=3,Static,4,0.22108
N=M=10 si n=m=3,Static,4,0.22493
N=M=10 si n=m=3,Static,4,0.22396
N=M=10 si n=m=3,Static,4,0.21184
N=M=10 si n=m=3,Static,4,0.23203
N=M=10 si n=m=3,Static,4,0.22958
N=M=10 si n=m=3,Static,4,0.22619
N=M=10 si n=m=3,Static,4,0.22094
N=M=10 si n=m=3,Static,4,0.23944
N=M=10 si n=m=3,Static,4,0.24958
N=M=10 si n=m=3,Dynamic,Sequential,0.00989
N=M=10 si n=m=3,Dynamic,Sequential,0.02095
N=M=10 si n=m=3,Dynamic,Sequential,0.0107
N=M=10 si n=m=3,Dynamic,Sequential,0.00936
N=M=10 si n=m=3,Dynamic,Sequential,0.00956
N=M=10 si n=m=3,Dynamic,4,0.22288
N=M=10 si n=m=3,Dynamic,4,0.21888
N=M=10 si n=m=3,Dynamic,4,0.21688
N=M=10 si n=m=3,Dynamic,4,0.2157
N=M=10 si n=m=3,Dynamic,4,0.22957
N=M=10 si n=m=3,Dynamic,4,0.21755
N=M=10 si n=m=3,Dynamic,4,0.23218
N=M=10 si n=m=3,Dynamic,4,0.27027
N=M=10 si n=m=3,Dynamic,4,0.20844
N=M=10 si n=m=3,Dynamic,4,0.25069
N=M=10 si n=m=3,Dynamic,4,0.24177
N=M=10 si n=m=3,Dynamic,4,0.24582
N=M=10 si n=m=3,Dynamic,4,0.22992
N=M=10 si n=m=3,Dynamic,4,0.22361
N=M=10 si n=m=3,Dynamic,4,0.23981
N=M=1000 si n=m=5,Static,Sequential,186.27166
N=M=1000 si n=m=5,Static,Sequential,188.73124
N=M=1000 si n=m=5,Static,Sequential,188.71817
N=M=1000 si n=m=5,Static,Sequential,184.67851
N=M=1000 si n=m=5,Static,Sequential,183.89606
N=M=1000 si n=m=5,Static,2,102.54314
N=M=1000 si n=m=5,Static,2,103.16583
N=M=1000 si n=m=5,Static,2,102.29635
N=M=1000 si n=m=5,Static,2,104.33856
N=M=1000 si n=m=5,Static,2,102.26251
N=M=1000 si n=m=5,Static,2,104.84036
N=M=1000 si n=m=5,Static,2,102.4256
N=M=1000 si n=m=5,Static,2,101.43733
N=M=1000 si n=m=5,Static,2,106.10564
N=M=1000 si n=m=5,Static,2,102.1045
N=M=1000 si n=m=5,Static,2,102.08373
N=M=1000 si n=m=5,Static,2,103.10183
N=M=1000 si n=m=5,Static,2,103.06016
N=M=1000 si n=m=5,Static,2,101.85314
N=M=1000 si n=m=5,Static,2,103.72305
