Tip Matrice,Nr threads,Timp executie
N=M=10 si n=m=3,Sequential,0.13296
N=M=10 si n=m=3,Sequential,0.13345
N=M=10 si n=m=3,Sequential,0.13396
N=M=10 si n=m=3,Sequential,0.13218
N=M=10 si n=m=3,Sequential,0.13398
N=M=10 si n=m=3,4,1.12863
N=M=10 si n=m=3,4,1.12053
N=M=10 si n=m=3,4,1.12406
N=M=10 si n=m=3,4,1.12179
N=M=10 si n=m=3,4,1.103
N=M=10 si n=m=3,4,1.09497
N=M=10 si n=m=3,4,1.0906
N=M=10 si n=m=3,4,1.14045
N=M=10 si n=m=3,4,1.14187
N=M=10 si n=m=3,4,1.06296
N=M=10 si n=m=3,4,1.0716
N=M=10 si n=m=3,4,1.08752
N=M=10 si n=m=3,4,1.07334
N=M=10 si n=m=3,4,1.13211
N=M=10 si n=m=3,4,1.11184
N=M=1000 si n=m=5,Sequential,36.63042
N=M=1000 si n=m=5,Sequential,36.26878
N=M=1000 si n=m=5,Sequential,36.37308
N=M=1000 si n=m=5,Sequential,36.24456
N=M=1000 si n=m=5,Sequential,36.55999
N=M=1000 si n=m=5,2,28.43533
N=M=1000 si n=m=5,2,27.95259
N=M=1000 si n=m=5,2,27.60167
N=M=1000 si n=m=5,2,27.85338
N=M=1000 si n=m=5,2,28.35153
N=M=1000 si n=m=5,2,27.89116
N=M=1000 si n=m=5,2,29.79785
N=M=1000 si n=m=5,2,28.31219
N=M=1000 si n=m=5,2,28.23847
N=M=1000 si n=m=5,2,28.11937
N=M=1000 si n=m=5,2,28.33857
N=M=1000 si n=m=5,2,27.96174
N=M=1000 si n=m=5,2,28.55603
N=M=1000 si n=m=5,2,28.33787
N=M=1000 si n=m=5,2,30.30107
N=M=1000 si n=m=5,4,24.11186
N=M=1000 si n=m=5,4,25.63226
N=M=1000 si n=m=5,4,24.6829
N=M=1000 si n=m=5,4,24.04986
N=M=1000 si n=m=5,4,25.36972
N=M=1000 si n=m=5,4,25.80314
N=M=1000 si n=m=5,4,24.85908
N=M=1000 si n=m=5,4,25.86281
N=M=1000 si n=m=5,4,25.06471
N=M=1000 si n=m=5,4,25.8458
N=M=1000 si n=m=5,4,24.47875
N=M=1000 si n=m=5,4,24.11225
N=M=1000 si n=m=5,4,25.39358
N=M=1000 si n=m=5,4,24.77172
N=M=1000 si n=m=5,4,24.84097
N=M=1000 si n=m=5,8,26.56366
N=M=1000 si n=m=5,8,26.25055
N=M=1000 si n=m=5,8,26.56494
N=M=1000 si n=m=5,8,26.0577
N=M=1000 si n=m=5,8,26.7339602
N=M=1000 si n=m=5,8,25.6890797
N=M=1000 si n=m=5,8,25.6891601
N=M=1000 si n=m=5,8,25.7981198
N=M=1000 si n=m=5,8,26.48786
N=M=1000 si n=m=5,8,26.1357
N=M=1000 si n=m=5,8,26.33918
N=M=1000 si n=m=5,8,26.34741
N=M=1000 si n=m=5,8,26.29967
N=M=1000 si n=m=5,8,26.68571
N=M=1000 si n=m=5,8,26.25339
N=M=1000  si n=m=5,16,30.02569
N=M=1000  si n=m=5,16,27.09524
N=M=1000  si n=m=5,16,26.42522
N=M=1000  si n=m=5,16,26.52707
N=M=1000  si n=m=5,16,27.14617
N=M=1000  si n=m=5,16,26.66878
N=M=1000  si n=m=5,16,26.94556
