Pozitie: 1, ID: 293, Punctaj: 745, Tara: 3
Pozitie: 2, ID: 26, Punctaj: 737, Tara: 1
Pozitie: 3, ID: 117, Punctaj: 733, Tara: 2
Pozitie: 4, ID: 471, Punctaj: 733, Tara: 5
Pozitie: 5, ID: 104, Punctaj: 729, Tara: 2
Pozitie: 6, ID: 358, Punctaj: 720, Tara: 4
Pozitie: 7, ID: 389, Punctaj: 705, Tara: 4
Pozitie: 8, ID: 60, Punctaj: 704, Tara: 1
Pozitie: 9, ID: 375, Punctaj: 692, Tara: 4
Pozitie: 10, ID: 261, Punctaj: 691, Tara: 3
Pozitie: 11, ID: 195, Punctaj: 690, Tara: 2
Pozitie: 12, ID: 134, Punctaj: 686, Tara: 2
Pozitie: 13, ID: 241, Punctaj: 682, Tara: 3
Pozitie: 14, ID: 458, Punctaj: 681, Tara: 5
Pozitie: 15, ID: 270, Punctaj: 680, Tara: 3
Pozitie: 16, ID: 33, Punctaj: 674, Tara: 1
Pozitie: 17, ID: 242, Punctaj: 674, Tara: 3
Pozitie: 18, ID: 69, Punctaj: 670, Tara: 1
Pozitie: 19, ID: 329, Punctaj: 670, Tara: 4
Pozitie: 20, ID: 433, Punctaj: 666, Tara: 5
Pozitie: 21, ID: 287, Punctaj: 665, Tara: 3
Pozitie: 22, ID: 77, Punctaj: 663, Tara: 1
Pozitie: 23, ID: 82, Punctaj: 661, Tara: 1
Pozitie: 24, ID: 198, Punctaj: 659, Tara: 2
Pozitie: 25, ID: 56, Punctaj: 658, Tara: 1
Pozitie: 26, ID: 110, Punctaj: 657, Tara: 2
Pozitie: 27, ID: 222, Punctaj: 656, Tara: 3
Pozitie: 28, ID: 383, Punctaj: 656, Tara: 4
Pozitie: 29, ID: 265, Punctaj: 648, Tara: 3
Pozitie: 30, ID: 445, Punctaj: 648, Tara: 5
Pozitie: 31, ID: 447, Punctaj: 648, Tara: 5
Pozitie: 32, ID: 203, Punctaj: 647, Tara: 3
